territory,ecosystem,hectare,country
Ukraine,marsh,95260.996449714,Ukraine
Ukraine,seagrass,586158,Ukraine
Ukraine,total,681418.9964497141,Ukraine
Nicaragua,mangrove,73341.91450607294,Nicaragua
Nicaragua,marsh,59987.10395687818,Nicaragua
Nicaragua,seagrass,556556,Nicaragua
Nicaragua,total,689885.0184629512,Nicaragua
Madagascar,mangrove,271503.03034042264,Madagascar
Madagascar,marsh,16285.441838321029,Madagascar
Madagascar,seagrass,579346,Madagascar
Madagascar,total,867134.4721787438,Madagascar
Italy,mangrove,0,Italy
Italy,marsh,25413.240112250165,Italy
Italy,seagrass,903058,Italy
Italy,total,928471.2401122502,Italy
Canada,mangrove,0,Canada
Canada,marsh,908925.6603220975,Canada
Canada,seagrass,64500,Canada
Canada,total,973425.6603220975,Canada
Brazil,mangrove,1052648.9297948407,Brazil
Brazil,marsh,116635.9934145346,Brazil
Brazil,seagrass,42934,Brazil
Brazil,total,1212218.9232093755,Brazil
Guinea,mangrove,244709.6867624126,Guinea
Guinea,marsh,309.00778122699813,Guinea
Guinea,seagrass,1290066,Guinea
Guinea,total,1535084.6945436397,Guinea
Nigeria,mangrove,695995.3890766172,Nigeria
Nigeria,marsh,2044.5350053831328,Nigeria
Nigeria,seagrass,887687,Nigeria
Nigeria,total,1585726.9240820005,Nigeria
Mexico,mangrove,726770.838718409,Mexico
Mexico,marsh,118500.13856099341,Mexico
Mexico,seagrass,957738,Mexico
Mexico,total,1803008.9772794023,Mexico
Guinea-Bissau,mangrove,347722.93196327676,Guinea-Bissau
Guinea-Bissau,marsh,6694.652650764567,Guinea-Bissau
Guinea-Bissau,seagrass,1539714,Guinea-Bissau
Guinea-Bissau,total,1894131.5846140413,Guinea-Bissau
Cuba,mangrove,426538.82141912245,Cuba
Cuba,marsh,71218.66162558901,Cuba
Cuba,seagrass,1607300,Cuba
Cuba,total,2105057.4830447114,Cuba
Indonesia,mangrove,2690026.02970222,Indonesia
Indonesia,marsh,19185.025313539343,Indonesia
Indonesia,seagrass,293464,Indonesia
Indonesia,total,3002675.05501576,Indonesia
United States,mangrove,234873.37986244247,United States
United States,marsh,1985593.068046005,United States
United States,seagrass,1442238,United States
United States,total,3662704.4479084476,United States
Australia,mangrove,957544.357169472,Australia
Australia,marsh,227645.7763116497,Australia
Australia,seagrass,8301298,Australia
Australia,total,9486488.133481123,Australia
